rank,name3,count,length
940,wilsons,55,7
941,gibbs,55,5
942,laura,55,5
943,veronica,55,8
944,eaton,55,5
945,mann,55,4
946,donaldson,55,9
947,mcmahon,55,7
948,canning,55,7
949,cornish,55,7
950,coolabah,55,8
951,nicholls,55,8
952,macdonald,55,9
953,links,55,5
954,bath,55,4
955,barrington,55,10
956,amy,55,3
957,correa,55,6
958,crane,55,5
959,frances,55,7
960,cromwell,55,8
961,cascade,54,7
962,hills,54,5
963,ray,54,3
964,wisteria,54,8
965,st james,54,8
966,o'connell,54,9
967,castlereagh,54,11
968,brennan,54,7
969,topaz,54,5
970,muir,54,4
971,browning,54,8
972,amelia,54,6
973,barbara,54,7
974,amanda,54,6
975,nathan,54,6
976,swift,54,5
977,harbour,54,7
978,manor,54,5
979,milford,54,7
980,kelvin,54,6
981,kenny,54,5
982,austral,53,7
983,sandy,53,5
984,latrobe,53,7
985,killarney,53,9
986,bernard,53,7
987,crystal,53,7
988,bakers,53,6
989,bryant,53,6
990,waterford,53,9
991,clive,53,5
992,suffolk,53,7
993,wickham,53,7
994,como,53,4
995,woodward,53,8
996,hutchinson,53,10
997,beaufort,53,8
998,roy,53,3
999,kellys,53,6
1000,eric,53,4
1001,barkly,53,6
1002,toorak,53,6
1003,government,53,10
1004,ferndale,53,8
1005,peacock,53,7
1006,magpie,53,6
1007,cooinda,53,7
1008,sycamore,53,8
1009,meredith,53,8
1010,christine,53,9
1011,addison,53,7
1012,stanton,53,7
1013,pinnacle,53,8
1014,brady,53,5
1015,janet,53,5
1016,dundee,53,6
1017,dunbar,53,6
1018,sirius,53,6
1019,parry,52,5
1020,boomerang,52,9
1021,bradford,52,8
1022,elgin,52,5
1023,walnut,52,6
1024,warner,52,6
1025,sylvan,52,6
1026,plantation,52,10
1027,grafton,52,7
1028,cowan,52,5
1029,dillon,52,6
1030,washington,52,10
1031,christopher,52,11
1032,marsden,52,7
1033,glenview,52,8
1034,curtin,52,6
1035,reef,52,4
1036,almond,52,6
1037,julia,52,5
1038,norwood,52,7
1039,scarborough,52,11
1040,matilda,51,7
1041,barrett,51,7
1042,st georges,51,10
1043,albatross,51,9
1044,boston,51,6
1045,lookout,51,7
1046,quail,51,5
1047,murdoch,51,7
1048,farrell,51,7
1049,vaughan,51,7
1050,beryl,51,5
1051,selwyn,51,6
1052,ormond,51,6
1053,wheeler,51,7
1054,northcote,51,9
1055,orange,51,6
1056,benson,51,6
1057,eva,51,3
1058,millers,51,7
1059,normanby,51,8
1060,lonsdale,51,8
1061,aurora,50,6
1062,raven,50,5
1063,irvine,50,6
1064,clover,50,6
1065,weston,50,6
1066,ferry,50,5
1067,lorne,50,5
1068,tulip,50,5
1069,barclay,50,7
1070,regency,50,7
1071,warrego,50,7
1072,beaconsfield,50,12
1073,hospital,50,8
1074,brooke,50,6
1075,broadway,50,8
1076,houston,50,7
1077,sims,50,4
1078,guy,50,3
1079,swallow,50,7
1080,stevenson,50,9
1081,loch,50,4
1082,goodwin,50,7
1083,industrial,50,10
1084,leigh,50,5
1085,winifred,49,8
1086,hutton,49,6
1087,dove,49,4
1088,begonia,49,7
1089,karen,49,5
1090,the grove,49,9
1091,highfield,49,9
1092,fiona,49,5
1093,bright,49,6
1094,ocean view,49,10
1095,hinkler,49,7
1096,erskine,49,7
1097,jasper,49,6
1098,musgrave,49,8
1099,lyrebird,49,8
1100,arundel,49,7
1101,lodge,49,5
1102,kauri,49,5
1103,colin,49,5
1104,colonial,49,8
1105,barnett,49,7
1106,hancock,49,7
1107,red hill,49,8
1108,catalina,49,8
1109,alpine,49,6
1110,recreation,49,10
1111,irving,49,6
1112,wilton,49,6
1113,linda,49,5
1114,allison,49,7
1115,luke,49,4
1116,pembroke,48,8
1117,marks,48,5
1118,jetty,48,5
1119,clarkes,48,7
1120,eleventh,48,8
1121,walkers,48,7
1122,wallis,48,6
1123,mcdonalds,48,9
1124,nottingham,48,10
1125,harcourt,48,8
1126,jason,48,5
1127,coachwood,48,9
1128,wonga,48,5
1129,forster,48,7
1130,roe,48,3
1131,winter,48,6
1132,hansen,48,6
1133,sheridan,48,8
1134,burnside,48,8
1135,lillian,48,7
1136,ruth,48,4
1137,tobruk,48,6
1138,liverpool,48,9
1139,roma,48,4
1140,iona,48,4
1141,beresford,48,9
1142,keats,48,5
1143,huon,48,4
1144,wrights,48,7
1145,brentwood,48,9
1146,simmons,48,7
1147,hovea,48,5
1148,baldwin,48,7
1149,morley,48,6
1150,haynes,48,6
1151,silver,47,6
1152,briggs,47,6
1153,tamar,47,5
1154,mcnamara,47,8
1155,hodgson,47,7
1156,glendale,47,8
1157,lake view,47,9
1158,brunswick,47,9
1159,greens,47,6
1160,buckland,47,8
1161,leicester,47,9
1162,kerry,47,5
1163,sanders,47,7
1164,hilda,47,5
1165,chelmsford,47,10
1166,fleet,47,5
1167,karri,47,5
1168,reed,47,4
1169,carramar,47,8
1170,harmony,47,7
1171,harley,47,6
1172,chamberlain,47,11
1173,juniper,47,7
1174,clematis,47,8
1175,westminster,47,11
1176,bluebell,47,8
1177,dianella,47,8
1178,hereford,47,8
1179,moreton,47,7
1180,norris,47,6
1181,moran,47,5
1182,dutton,47,6
1183,echidna,46,7
1184,inglis,46,6
1185,gipps,46,5
1186,murchison,46,9
1187,harrington,46,10
1188,louisa,46,6
1189,drake,46,5
1190,mcgrath,46,7
1191,beatty,46,6
1192,jessie,46,6
1193,jardine,46,7
1194,greenway,46,8
1195,poinciana,46,9
1196,ritchie,46,7
1197,blackburn,46,9
1198,mansfield,46,9
1199,dunstan,46,7
1200,gleeson,46,7
1201,kate,46,4
1202,whistler,46,8
1203,tamarind,46,8
1204,caldwell,46,8
1205,killara,46,7
1206,merino,46,6
1207,rodney,46,6
1208,woodside,46,8
1209,lantana,46,7
1210,davenport,46,9
1211,jensen,46,6
1212,windermere,46,10
1213,summer,46,6
1214,denham,46,6
1215,atkins,46,6
1216,rangeview,46,9
1217,red gum,46,7
1218,denman,46,6
1219,wilkins,46,7
1220,tweed,46,5
1221,lucy,46,4
1222,nepean,46,6
1223,rutherford,46,10
1224,glebe,45,5
1225,hooper,45,6
1226,auburn,45,6
1227,thompsons,45,9
1228,ella,45,4
1229,carlyle,45,7
1230,williamson,45,10
1231,kangaroo,45,8
1232,darcy,45,5
1233,court,45,5
1234,coopers,45,7
1235,ridley,45,6
1236,skye,45,4
1237,christina,45,9
1238,braeside,45,8
1239,shiraz,45,6
1240,alpha,45,5
1241,joy,45,3
1242,kevin,45,5
1243,walters,45,7
1244,driftwood,45,9
1245,winchester,45,10
1246,baird,45,5
1247,montague,45,8
1248,golf,45,4
1249,cormorant,45,9
1250,delta,45,5
1251,michelle,45,8
1252,joan,45,4
1253,hawthorne,45,9
1254,randall,45,7
1255,columbia,44,8
1256,madden,44,6
1257,burrows,44,7
1258,merton,44,6
1259,parkwood,44,8
1260,golf course,44,11
1261,maud,44,4
1262,telopea,44,7
1263,burt,44,4
1264,o'connor,44,8
1265,fantail,44,7
1266,parklands,44,9
1267,berkeley,44,8
1268,gardner,44,7
1269,clearview,44,9
1270,monaro,44,6
1271,wyndham,44,7
1272,discovery,44,9
1273,mountain,44,8
1274,huntingdale,44,11
1275,steele,44,6
1276,allambie,44,8
1277,bartlett,44,8
1278,regal,44,5
1279,rupert,44,6
1280,holden,44,6
1281,cuthbert,44,8
1282,glenwood,44,8
1283,thorpe,44,6
1284,beacon,43,6
1285,roper,43,5
1286,cygnet,43,6
1287,attunga,43,7
1288,hannah,43,6
1289,tern,43,4
1290,nixon,43,5
1291,thistle,43,7
1292,sandy creek,43,11
1293,parkway,43,7
1294,brougham,43,8
1295,harwood,43,7
1296,hull,43,4
1297,forsyth,43,7
1298,shakespeare,43,11
1299,erin,43,4
1300,marie,43,5
1301,shamrock,43,8
1302,hewitt,43,6
1303,petrel,43,6
1304,southern,43,8
1305,adina,43,5
1306,jarvis,43,6
1307,ridgeway,43,8
1308,london,43,6
1309,hindmarsh,43,9
1310,orr,43,3
1311,truscott,43,8
1312,irene,43,5
1313,potter,43,6
1314,old coach,43,9
1315,progress,43,8
1316,edmund,43,6
1317,brigalow,43,8
1318,hobbs,43,5
1319,hale,43,4
1320,wedge,43,5
1321,chandler,43,8
1322,otway,43,5
1323,adrian,43,6
1324,malvern,43,7
1325,sugarloaf,43,9
1326,rae,43,3
1327,stratford,43,9
1328,duffy,43,5
1329,robyn,43,5
1330,brett,43,5
1331,wesley,43,6
1332,wolseley,43,8
1333,katherine,43,9
1334,kirby,43,5
1335,simon,43,5
1336,chifley,43,7
1337,penny,42,5
1338,upton,42,5
1339,madison,42,7
1340,quandong,42,8
1341,mowbray,42,7
1342,lees,42,4
1343,darwin,42,6
